query_id,query_type,question,answer,insufficient,confidence,citation_chunk_ids,final_evidence_chunk_ids,citation_contract_valid,citations_within_final_evidence,human_correct,human_complete,human_faithful,human_citations_adequate,human_clear,human_notes
P001,direct_lookup,Thi trực tuyến mà vào phòng thi trễ hơn giờ bắt đầu bao nhiêu phút thì không được dự thi?,"Sau 5 phút kể từ khi bắt đầu làm bài thi, thí sinh không được dự thi và phải rời khỏi phòng thi trực tuyến ngay lập tức.",False,high,"[""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5""]","[""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5"", ""ccv0:c502c54c946e:p5:o324:2ba5fa3ced533c7f"", ""ccv0:c502c54c946e:p2:o1255:7b249e222df207e8""]",True,True,,,,,,
P002,direct_lookup,Trường chấp nhận những loại chứng chỉ tiếng Anh quốc tế nào?,"Các chứng chỉ tiếng Anh quốc tế được chấp nhận: IELTS, TOEIC (4 kỹ năng), TOEFL iBT, Cambridge, Aptis ESOL.",False,high,"[""ccv0:f0d5cdc987b9:p1:o1525:b1b3a0243b780039""]","[""ccv0:f0d5cdc987b9:p1:o1525:b1b3a0243b780039"", ""ccv0:72996278ee10:p8:o1488:1c085ca2f5ce17c2"", ""ccv0:71751eb4fa8c:p10:o1894:d77d8f456c836c2f"", ""ccv0:72996278ee10:p19:o744:773717dc59afbccb""]",True,True,,,,,,
P003,direct_lookup,Điều kiện điểm học tập và rèn luyện để nhận thư khen điện tử của Hiệu trưởng là gì?,"Các điều kiện để nhận thư khen điện tử của Hiệu trưởng về mặt điểm học tập và rèn luyện: 
- Đạt thành tích học tập Giỏi, Xuất sắc: Điểm trung bình (TB) học kỳ/năm ≥ 8.00 và Điểm trung bình rèn luyện học kỳ/năm xét từ 80 điểm trở lên. 
- Các điều kiện dành cho lần xét thư khen của sinh viên năm thứ nhất: 
  • Số tín chỉ tích lũy của chương trình đào tạo ngành chính tính đến thời điểm xét phải lớn hơn hoặc bằng số tín chỉ điều kiện (theo khung chương trình đào tạo ngành chính tính đến hết năm học xét thư khen, có thể có xét lại theo kế hoạch giảng dạy). 
  • Đối với các môn học không tính tín chỉ tích lũy, phải tích lũy đủ số môn học (hoặc môn tương đương) theo khung chương trình đào tạo của ngành chính; 
  • Điểm trung bình tích lũy kết quả của các môn thi lần 1 thuộc chương trình đào tạo ngành chính mà sinh viên học trong năm học xét thư khen (không tính các môn học cải thiện) từ loại Khá (7.0) trở lên; 
  • Không có môn học nào sinh viên thi lại lần thứ 2 trong năm học xét thư khen; 
  • Môn học có kết quả R (rút môn), H (hoãn thi), P (chưa hoàn thành) vẫn được tham gia xét thư khen; 
  • Điểm rèn luyện trong năm học xét thư khen từ loại Khá (65) trở lên; 
  • Hoàn tất học phần tiếng Anh ngoài chương trình đào tạo; 
  • Không bị xử lý kỷ luật từ mức khiển trách trở lên.",False,high,"[""ccv0:614a7c8cd8ef:p2:o550:e48d069d79dcd6b2"", ""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6""]","[""ccv0:614a7c8cd8ef:p2:o550:e48d069d79dcd6b2"", ""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6""]",True,True,,,,,,
P004,direct_lookup,Khối lượng học tập tối đa được công nhận và chuyển đổi tín chỉ là bao nhiêu?,Khối lượng học tập tối đa được công nhận và chuyển đổi tín chỉ không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo (hoặc không vượt quá 50% khối lượng học tập của CTĐT đang học).,False,high,"[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p4:o1150:0de290e8d1d7cb92""]","[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p4:o1150:0de290e8d1d7cb92"", ""ccv0:457e13e9798d:p8:o856:de21ede7a30e3128"", ""ccv0:e381a555c613:p4:o1332:ee9e289102bf3f16""]",True,True,,,,,,
P005,direct_lookup,Nếu sinh viên có nhiều hành vi vi phạm cùng lúc thì cấp nào đề xuất và cấp nào quyết định hình thức kỷ luật?,"Trong cùng một thời điểm, khi sinh viên có nhiều hành vi vi phạm, Hội đồng kỷ luật sinh viên cấp Khoa đề xuất hình thức xử lý và trình Hội đồng kỷ luật sinh viên cấp Trường xem xét, quyết định về hình thức và mức kỷ luật.",False,high,"[""ccv0:01c9529d424a:p5:o1503:8165ff0b8cc9e014""]","[""ccv0:01c9529d424a:p5:o1503:8165ff0b8cc9e014""]",True,True,,,,,,
P006,paraphrase,"Trong lúc thi online, tự rời phòng khi chưa được cán bộ coi thi đồng ý quá bao lâu thì bị xem là vi phạm?",Quá 05 phút tự ý rời khỏi khu vực/phòng thi trực tuyến khi chưa có sự đồng ý của CBCT sẽ bị xem là vi phạm.,False,high,"[""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5"", ""ccv0:c502c54c946e:p5:o245:c8eeb37bd567210a"", ""ccv0:c502c54c946e:p5:o1084:03f558127ded867d""]","[""ccv0:c502c54c946e:p5:o245:c8eeb37bd567210a"", ""ccv0:c502c54c946e:p4:o2718:c9f8c7fb1e8712d2"", ""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p5:o1084:03f558127ded867d"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5"", ""ccv0:c502c54c946e:p4:o641:497cde57c674350d""]",True,True,,,,,,
P007,paraphrase,"Nhà trường chấm điểm rèn luyện ở đâu, và việc chấm phải tuân theo những nguyên tắc nào?","Chấm điểm rèn luyện được lưu trong cơ sở dữ liệu quản lý người học của Trường.
Nguyên tắc: việc chấp hành nội quy, quy định trong Trường và đơn vị tập sự nghề nghiệp hoặc Trường liên kết được tính tối đa 20 điểm.",False,high,"[""ccv0:fb4a92da75d1:p9:o248:b67714d88008894a"", ""ccv0:fb4a92da75d1:p7:o2:b452e66e15291f09""]","[""ccv0:01c9529d424a:p2:o547:afc485bc32738cac"", ""ccv0:fb4a92da75d1:p9:o248:b67714d88008894a"", ""ccv0:fb4a92da75d1:p7:o2:b452e66e15291f09"", ""ccv0:457e13e9798d:p16:o589:0b900c49bc329305"", ""ccv0:01c9529d424a:p3:o1775:e99fff8ca1906ad3""]",True,True,,,,,,
P008,paraphrase,Chứng chỉ tiếng Anh không ghi ngày hết hạn thì sau khi cấp còn được dùng để xin miễn học phần trong bao lâu?,Trong vòng 02 năm kể từ ngày được cấp chứng chỉ.,False,high,"[""ccv0:f0d5cdc987b9:p2:o1930:82a8a4e7970f4584"", ""ccv0:f0d5cdc987b9:p2-3:o2266:5b6a9ea82b4cc460""]","[""ccv0:f0d5cdc987b9:p2:o1930:82a8a4e7970f4584"", ""ccv0:f0d5cdc987b9:p2-3:o2266:5b6a9ea82b4cc460""]",True,True,,,,,,
P009,paraphrase,"Điểm đã học ở ngành khác, chương trình khác hoặc trường khác có thể được xem xét quy đổi sang chương trình TDTU không?","Có thể được xem xét công nhận kết quả học tập và chuyển đổi tín chỉ của các môn học từ ngành/program/Trường khác sang CTĐT tại Trường Đại học Tôn Đức Thắng; tùy từng trường hợp, Trường sẽ xem xét để công nhận và chuyển đổi tín chỉ của những học phần trong CTĐT. Điểm của các môn học được công nhận miễn sẽ được ghi điểm M hoặc ghi nhận điểm theo kết quả môn tương đương.",False,high,"[""ccv0:457e13e9798d:p21-22:o1729:08258c4ce5cca03a"", ""ccv0:e381a555c613:p3:o419:cdcfab4f0ac150b4"", ""ccv0:e381a555c613:p6:o879:0b709851dce86001"", ""ccv0:457e13e9798d:p19:o3:14026741aa6d66b9"", ""ccv0:457e13e9798d:p13:o1201:c1fb524fce2b466f""]","[""ccv0:457e13e9798d:p21-22:o1729:08258c4ce5cca03a"", ""ccv0:e381a555c613:p3:o419:cdcfab4f0ac150b4"", ""ccv0:e381a555c613:p6:o879:0b709851dce86001"", ""ccv0:457e13e9798d:p13:o1201:c1fb524fce2b466f"", ""ccv0:457e13e9798d:p19:o3:14026741aa6d66b9""]",True,True,,,,,,
P010,paraphrase,"Nếu em tự xin nghỉ học hẳn rồi sau này muốn quay lại trường thì có phải thi tuyển lại không, và điểm cũ được xử lý thế nào?","Khi xin nghỉ học và muốn quay trở lại, sinh viên phải dự tuyển đầu vào như thí sinh khác; việc bảo lưu và công nhận kết quả học tập đã tích lũy được xem xét căn cứ vào chuẩn đầu ra môn học và CTĐT hiện hành. Ngoài ra sinh viên phải thực hiện nghĩa vụ học phí môn học còn nợ. Điểm cao nhất trong các lần học lại là kết quả chính thức của môn học.",False,medium,"[""ccv0:457e13e9798d:p9-10:o2410:e5106ff50f49075f"", ""ccv0:457e13e9798d:p10-11:o2247:680ade9262f60fb6""]","[""ccv0:457e13e9798d:p9-10:o2410:e5106ff50f49075f"", ""ccv0:457e13e9798d:p10-11:o2247:680ade9262f60fb6""]",True,True,,,,,,
