query_id,query_type,question,answer,insufficient,confidence,citation_chunk_ids,final_evidence_chunk_ids,citation_contract_valid,citations_within_final_evidence,human_correct,human_complete,human_faithful,human_citations_adequate,human_clear,human_notes
P001,direct_lookup,Thi trực tuyến mà vào phòng thi trễ hơn giờ bắt đầu bao nhiêu phút thì không được dự thi?,"Quá 5 phút kể từ khi bắt đầu tính giờ làm bài thi, TS không được dự thi và phải rời khỏi phòng thi trực tuyến ngay lập tức.",False,high,"[""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5""]","[""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5""]",True,True,,,,,,
P002,direct_lookup,Trường chấp nhận những loại chứng chỉ tiếng Anh quốc tế nào?,"Các chứng chỉ tiếng Anh quốc tế được chấp nhận gồm: IELTS, TOEIC (4 kỹ năng), TOEFL iBT, Cambridge, Aptis ESOL.",False,high,"[""ccv0:f0d5cdc987b9:p1:o1525:b1b3a0243b780039""]","[""ccv0:f0d5cdc987b9:p1:o1525:b1b3a0243b780039""]",True,True,,,,,,
P003,direct_lookup,Điều kiện điểm học tập và rèn luyện để nhận thư khen điện tử của Hiệu trưởng là gì?,"Các điều kiện nhận Thư khen (điện tử) từ Hiệu trưởng tùy theo thành tích học tập và điểm rèn luyện:
- Đối với sinh viên đạt thành tích học tập Giỏi, Xuất sắc: có điểm trung bình học kỳ/năm ≥ 8,00 và điểm rèn luyện ≥ 80; Thư khen (điện tử) được gửi qua email.
- Đối với sinh viên đạt thành tích học tập Khá: có điểm trung bình học kỳ/năm ≥ 7,00 và điểm rèn luyện từ 65 trở lên; nếu Giỏi/Xuất sắc nhưng điểm rèn luyện < 80: thư khen vẫn được ký tặng và gửi qua email do Lãnh đạo Khoa quản lý.
- Các trường hợp khác (ví dụ sinh viên mới) được thể hiện trong tài liệu hướng dẫn nhưng điều kiện cụ thể ở đây tập trung vào hai mức trên và trường hợp ký/điều chỉnh từ lãnh đạo khoa.""",False,high,"[""ccv0:614a7c8cd8ef:p2:o550:e48d069d79dcd6b2"", ""ccv0:614a7c8cd8ef:p2:o807:766629378393083f"", ""ccv0:72996278ee10:p18:o1228:b03cc06dca76b7de""]","[""ccv0:614a7c8cd8ef:p2:o550:e48d069d79dcd6b2"", ""ccv0:71751eb4fa8c:p20:o3:4eb77d7260fdc0db"", ""ccv0:614a7c8cd8ef:p2:o807:766629378393083f"", ""ccv0:495026b3bab3:p22:o986:d02891ccd8bd0beb"", ""ccv0:72996278ee10:p18:o1228:b03cc06dca76b7de""]",True,True,,,,,,
P004,direct_lookup,Khối lượng học tập tối đa được công nhận và chuyển đổi tín chỉ là bao nhiêu?,Khối lượng học tập được công nhận và chuyển đổi tín chỉ không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo.,False,high,"[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p4:o1150:0de290e8d1d7cb92""]","[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p4:o1150:0de290e8d1d7cb92"", ""ccv0:457e13e9798d:p8:o856:de21ede7a30e3128""]",True,True,,,,,,
P005,direct_lookup,Nếu sinh viên có nhiều hành vi vi phạm cùng lúc thì cấp nào đề xuất và cấp nào quyết định hình thức kỷ luật?,"Hội đồng kỷ luật sinh viên cấp Khoa đề xuất hình thức xử lý và trình Hội đồng kỷ luật sinh viên cấp Trường xem xét, quyết định về hình thức và mức kỷ luật.",False,high,"[""ccv0:01c9529d424a:p5:o1503:8165ff0b8cc9e014"", ""ccv0:01c9529d424a:p5:o1773:7ba5b32470f238fc""]","[""ccv0:01c9529d424a:p5:o1503:8165ff0b8cc9e014"", ""ccv0:01c9529d424a:p6-7:o1855:dd90cf0cc73baf15"", ""ccv0:01c9529d424a:p5:o1773:7ba5b32470f238fc"", ""ccv0:01c9529d424a:p5:o729:79791754244e1bc9""]",True,True,,,,,,
P006,paraphrase,"Trong lúc thi online, tự rời phòng khi chưa được cán bộ coi thi đồng ý quá bao lâu thì bị xem là vi phạm?",Rời khỏi phòng thi trực tuyến quá 05 phút mà không được CBCT cho phép là vi phạm (nội quy quy định áp dụng khi thí sinh tự ý rời khỏi khu vực thi trực tuyến quá 05 phút).,False,high,"[""ccv0:c502c54c946e:p5:o245:c8eeb37bd567210a"", ""ccv0:c502c54c946e:p4:o278:aa52639274006329""]","[""ccv0:c502c54c946e:p5:o245:c8eeb37bd567210a"", ""ccv0:c502c54c946e:p4:o2718:c9f8c7fb1e8712d2"", ""ccv0:c502c54c946e:p4:o278:aa52639274006329"", ""ccv0:c502c54c946e:p5:o1084:03f558127ded867d"", ""ccv0:c502c54c946e:p4:o641:497cde57c674350d"", ""ccv0:c502c54c946e:p2:o1494:5f9cb8c93cb65cf5""]",True,True,,,,,,
P007,paraphrase,"Nhà trường chấm điểm rèn luyện ở đâu, và việc chấm phải tuân theo những nguyên tắc nào?","Nhà trường ghi điểm rèn luyện vào bảng điểm theo mẫu thống nhất của Trường hoặc lưu trực tiếp trên cơ sở dữ liệu của Trường đối với bài thi trắc nghiệm trên máy tính. Việc chấp hành nội quy, quy chế, quy định tại Trường và đơn vị tập sự nghề nghiệp hoặc Trường liên kết được tính tối đa 20 điểm. Thang điểm rèn luyện và cách tính cho các khoa có sự điều chỉnh đặc thù; ví dụ đối với các Khoa Điện - Điện tử, Công nghệ thông tin, Khoa học ứng dụng thì thang điểm rèn luyện được áp dụng như Điểm B, và trường hợp tốt nghiệp trước tiến độ đào tạo Khoa làm việc với Phòng Công tác học sinh - sinh viên để tính điểm rèn luyện cho sinh viên. Nhà trường cấp tài khoản thông qua hệ thống thông tin sinh viên để phục vụ trao đổi thông tin và quy định được phổ biến đến toàn thể đơn vị, giảng viên và người học để thực hiện.",False,high,"[""ccv0:457e13e9798d:p16:o589:0b900c49bc329305"", ""ccv0:fb4a92da75d1:p7:o2:b452e66e15291f09"", ""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42"", ""ccv0:01c9529d424a:p2:o547:afc485bc32738cac"", ""ccv0:23ef9a769cdc:p14:o31:6c6536081ad200f0"", ""ccv0:fb4a92da75d1:p7:o444:cc2cec7b3320b180""]","[""ccv0:457e13e9798d:p16:o589:0b900c49bc329305"", ""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42"", ""ccv0:fb4a92da75d1:p7:o2:b452e66e15291f09"", ""ccv0:01c9529d424a:p2:o547:afc485bc32738cac"", ""ccv0:23ef9a769cdc:p14:o31:6c6536081ad200f0"", ""ccv0:fb4a92da75d1:p7:o444:cc2cec7b3320b180""]",True,True,,,,,,
P008,paraphrase,Chứng chỉ tiếng Anh không ghi ngày hết hạn thì sau khi cấp còn được dùng để xin miễn học phần trong bao lâu?,Các chứng chỉ tiếng Anh quốc tế không có ghi ngày hết hạn được xét công nhận miễn học phần trong vòng 02 năm kể từ ngày được cấp chứng chỉ.,False,high,"[""ccv0:f0d5cdc987b9:p2-3:o2266:5b6a9ea82b4cc460"", ""ccv0:f0d5cdc987b9:p2:o1930:82a8a4e7970f4584""]","[""ccv0:f0d5cdc987b9:p2-3:o2266:5b6a9ea82b4cc460"", ""ccv0:f0d5cdc987b9:p2:o1930:82a8a4e7970f4584""]",True,True,,,,,,
P009,paraphrase,"Điểm đã học ở ngành khác, chương trình khác hoặc trường khác có thể được xem xét quy đổi sang chương trình TDTU không?",Có xem xét công nhận kết quả học tập và chuyển đổi tín chỉ từ ngành/ chương trình khác sang chương trìnhđào tạo của Trường Đại học Tôn Đức Thắng. Điểm hoặc kết quả học tập từ cơ sở đào tạo khác có thể được công nhận hoặc chuyển đổi sang tín chỉ và được xem xét để xem xét cấp bằng hoặc bổ sung tín chỉ cho chương trình TDTU theo quy định liên quan.,False,high,"[""ccv0:457e13e9798d:p21-22:o1729:08258c4ce5cca03a"", ""ccv0:457e13e9798d:p19:o3:14026741aa6d66b9"", ""ccv0:e381a555c613:p3:o419:cdcfab4f0ac150b4"", ""ccv0:e381a555c613:p6:o879:0b709851dce86001""]","[""ccv0:457e13e9798d:p21-22:o1729:08258c4ce5cca03a"", ""ccv0:457e13e9798d:p11:o2399:9b495bca083f8637"", ""ccv0:457e13e9798d:p13:o1201:c1fb524fce2b466f"", ""ccv0:457e13e9798d:p19:o3:14026741aa6d66b9"", ""ccv0:e381a555c613:p3:o419:cdcfab4f0ac150b4"", ""ccv0:e381a555c613:p6:o879:0b709851dce86001""]",True,True,,,,,,
P010,paraphrase,"Nếu em tự xin nghỉ học hẳn rồi sau này muốn quay lại trường thì có phải thi tuyển lại không, và điểm cũ được xử lý thế nào?","Khi sinh viên tự xin nghỉ học hẳn và muốn quay lại trường sau này, sinh viên phải dự tuyển đầu vào như thí sinh khác. Việc bảo lưu và công nhận kết quả học tập đã tích lũy khi nghỉ học sẽ được xem xét căn cứ vào chuẩn đầu ra môn học và CTĐT hiện hành.",False,high,"[""ccv0:457e13e9798d:p10-11:o2247:680ade9262f60fb6"", ""ccv0:457e13e9798d:p10:o1915:e11532443416dd21"", ""ccv0:457e13e9798d:p11:o1543:e9dcdccfbded912a""]","[""ccv0:457e13e9798d:p10-11:o2247:680ade9262f60fb6"", ""ccv0:457e13e9798d:p10:o1915:e11532443416dd21"", ""ccv0:457e13e9798d:p10:o647:b22df649b9825827"", ""ccv0:457e13e9798d:p11:o1543:e9dcdccfbded912a"", ""ccv0:457e13e9798d:p12:o1628:36c3eb8b7d6c4afa""]",True,True,,,,,,
