query_id,query_type,query,evidence_group,group_description,chunk_id,document_title,pages,structure,source_spans,source_text,human_query_natural,human_evidence_sufficient,human_chunk_relevant,human_pdf_verified,human_notes
P001,direct_lookup,Thi trực tuyến mà vào phòng thi trễ hơn giờ bắt đầu bao nhiêu phút thì không được dự thi?,g1,Ngưỡng đi trễ của thí sinh trong thi trực tuyến,ccv0:c502c54c946e:p4:o278:aa52639274006329,Nội quy phòng thi hình thức thi trực tuyến (chính thức),4-4,"{""chapter"": null, ""section"": null, ""article"": ""3"", ""clause"": ""2"", ""point"": null}","[{""char_end"": 641, ""char_start"": 278, ""page"": 4, ""source_pointer"": ""/pages/3/text""}]","2. Có mặt tại phòng thi trực tuyến trước giờ thi ít nhất 30 phút. Trường hợp có mặt sau
05 phút kể từ khi tinh giờ bắt đầu làm bài thi, TS không được phép dự thi và phải
rời khỏi phòng thi trực tuyến ngay lập tức. TS phải xuất trình thẻ sinh viên/học viên
hoặc giấy tờ tùy thân khác khi CBCT yêu cầu, trường hợp không có giấy tờ tùy thân
phải báo cho CBCT xử lý.
",,,,,
P002,direct_lookup,Trường chấp nhận những loại chứng chỉ tiếng Anh quốc tế nào?,g1,Danh sách chứng chỉ tiếng Anh quốc tế được chấp nhận,ccv0:f0d5cdc987b9:p1:o1525:b1b3a0243b780039,"Quy định về việc đào tạo tiếng Anh cho sinh viên trình độ đại học, chuyên sâu đặc thù chương trình giảng dạy bằng tiếng Anh khóa tuyển sinh 2023",1-1,"{""chapter"": null, ""section"": null, ""article"": ""2"", ""clause"": ""4"", ""point"": null}","[{""char_end"": 1826, ""char_start"": 1525, ""page"": 1, ""source_pointer"": ""/pages/0/text""}]","4. Các chứng chỉ tiếng Anh quốc tế được chấp nhận gồm: IELTS, TOEIC (4 kỹ năng),
TOEFL iBT, Cambridge, Aptis ESOL. Các chứng chỉ tiếng Anh quốc tế này phải được tổ
chức thi trực tiếp tại các đơn vị liên kết được Bộ Giáo dục và Đào tạo phê duyệt Đề án liên
kết tổ chức thi cấp chứng chỉ theo quy định.
",,,,,
P003,direct_lookup,Điều kiện điểm học tập và rèn luyện để nhận thư khen điện tử của Hiệu trưởng là gì?,g1,Ngưỡng cấp thư khen điện tử của Hiệu trưởng,ccv0:614a7c8cd8ef:p2:o550:e48d069d79dcd6b2,ĐIỀU KIỆN VỀ VIỆC CẤP THƯ KHEN HỌC TẬP - RÈN LUYỆN CHO SINH VIÊN,2-2,"{""chapter"": null, ""section"": null, ""article"": null, ""clause"": null, ""point"": null}","[{""char_end"": 806, ""char_start"": 550, ""page"": 2, ""source_pointer"": ""/pages/1/text""}]","2. Đối với sinh viên đạt thành tích học tập Giỏi, Xuất sắc có điểm TB học kỳ/năm
học ≥ 8,00 và Điểm trung bình rèn luyện học kỳ/năm học xét từ 80 điểm trở lên sẽ nhận
được Thư khen (điện tử) từ Thầy Hiệu trưởng khen tặng (được gửi qua email cho sinh
viên).",,,,,
P004,direct_lookup,Khối lượng học tập tối đa được công nhận và chuyển đổi tín chỉ là bao nhiêu?,g1,Giới hạn tối đa của khối lượng được công nhận/chuyển đổi,ccv0:457e13e9798d:p22:o118:15eec94d152d861b,Quy chế tổ chức và quản lý đào tạo - Áp dụng cho khóa tuyển sinh 2021 trở về sau,22-22,"{""chapter"": ""III"", ""section"": null, ""article"": ""28"", ""clause"": ""2"", ""point"": null}","[{""char_end"": 350, ""char_start"": 118, ""page"": 22, ""source_pointer"": ""/pages/21/text""}]","2. Trường thông báo quy định việc công nhận kết quả học tập và chuyển đổi tín chỉ trên
Cổng thông tin sinh viên. Khối lượng tối đa được công nhận, chuyển đổi không vượt quá
50% khối lượng học tập tối thiểu của chương trình đào tạo.
",,,,,
P005,direct_lookup,Nếu sinh viên có nhiều hành vi vi phạm cùng lúc thì cấp nào đề xuất và cấp nào quyết định hình thức kỷ luật?,g1,Thẩm quyền đề xuất và quyết định khi có nhiều vi phạm,ccv0:01c9529d424a:p5:o1503:8165ff0b8cc9e014,QUY CHẾ CÔNG TÁC SINH VIÊN,5-5,"{""chapter"": ""III"", ""section"": null, ""article"": ""8"", ""clause"": ""2"", ""point"": ""a""}","[{""char_end"": 1773, ""char_start"": 1503, ""page"": 5, ""source_pointer"": ""/pages/4/text""}]","a) Trong cùng một thời điểm, sinh viên có nhiều hành vi vi phạm thì tùy theo
tính chất, mức độ vi phạm, Hội đồng kỷ luật sinh viên cấp Khoa đề xuất hình thức xử
lý và trình Hội đồng kỷ luật sinh viên cấp Trường xem xét, quyết định về hình thứ c và
mứ c kỷ luâ ̣t.
",,,,,
P006,paraphrase,"Trong lúc thi online, tự rời phòng khi chưa được cán bộ coi thi đồng ý quá bao lâu thì bị xem là vi phạm?",g1,Thời lượng tự ý rời phòng thi trực tuyến,ccv0:c502c54c946e:p5:o245:c8eeb37bd567210a,Nội quy phòng thi hình thức thi trực tuyến (chính thức),5-5,"{""chapter"": null, ""section"": null, ""article"": ""3"", ""clause"": ""1"", ""point"": ""b""}","[{""char_end"": 324, ""char_start"": 245, ""page"": 5, ""source_pointer"": ""/pages/4/text""}]","b) Tự ý rời khỏi phòng thi trực tuyến mà không được CBCT cho phép quá 05 phút;
",,,,,
P007,paraphrase,"Nhà trường chấm điểm rèn luyện ở đâu, và việc chấm phải tuân theo những nguyên tắc nào?",g1,Hệ thống thực hiện và nguyên tắc đánh giá rèn luyện,ccv0:fb4a92da75d1:p1:o945:7e437012189693bc,QUY CHẾ ĐÁNH GIÁ KẾT QUẢ RÈN LUYỆN CỦA SINH VIÊN TRÌNH ĐỘ ĐẠI HỌC HỆ CHÍNH QUY,1-1,"{""chapter"": ""I"", ""section"": null, ""article"": ""2"", ""clause"": ""1"", ""point"": null}","[{""char_end"": 1078, ""char_start"": 945, ""page"": 1, ""source_pointer"": ""/pages/0/text""}]","1. Đánh giá kết quả rèn luyện được thực hiện trên hệ thống thông tin sinh viên, đảm
bảo khách quan, công khai, công bằng, chính xác.
",,,,,
P008,paraphrase,Chứng chỉ tiếng Anh không ghi ngày hết hạn thì sau khi cấp còn được dùng để xin miễn học phần trong bao lâu?,g1,Thời hạn xét chứng chỉ không quy định thời hạn,ccv0:f0d5cdc987b9:p2:o1930:82a8a4e7970f4584,"Quy định về việc đào tạo tiếng Anh cho sinh viên trình độ đại học, chuyên sâu đặc thù chương trình giảng dạy bằng tiếng Anh khóa tuyển sinh 2023",2-2,"{""chapter"": null, ""section"": null, ""article"": ""4"", ""clause"": ""1"", ""point"": null}","[{""char_end"": 2266, ""char_start"": 1930, ""page"": 2, ""source_pointer"": ""/pages/1/text""}]","1. Trong quá trình đào tạo, sinh viên nếu có các chứng chi/bang điểm tiếng Anh quốc
tế còn thời hạn theo quy định tại Phụ lục 2 được xét miễn học phần tiếng Anh tương ứng
theo khoản 2 Điều này. Các chứng chỉ tiếng Anh quốc tế không quy định thời hạn chỉ được
xét công nhận miễn học phần trong vòng 02 năm kể từ ngày được cấp chứng chỉ.
",,,,,
P009,paraphrase,"Điểm đã học ở ngành khác, chương trình khác hoặc trường khác có thể được xem xét quy đổi sang chương trình TDTU không?",g1,Nguồn kết quả học tập có thể được công nhận/chuyển đổi,ccv0:e381a555c613:p3:o419:cdcfab4f0ac150b4,Quy định công nhận kết quả học tập và chuyển đổi tín chỉ trong giáo dục đại học,3-3,"{""chapter"": null, ""section"": null, ""article"": ""1"", ""clause"": ""1"", ""point"": null}","[{""char_end"": 762, ""char_start"": 419, ""page"": 3, ""source_pointer"": ""/pages/2/text""}]","1. Văn bản này quy định về việc xét công nhận kết quả học tập và chuyển đổi tin
chỉ mà người hoc đã tích lũy từ một ngành dao tạo, một chương trình đào tạo (CTDT)
khác, một khóa học hoặc từ một cơ sở đào tạo khác để xem xét công nhận, chuyền đổi
sang tín chỉ của những học phần trong CTĐT của Trường Đại học Tôn Đức Thắng
(gọi tắt là Trường).
",,,,,
P010,paraphrase,"Nếu em tự xin nghỉ học hẳn rồi sau này muốn quay lại trường thì có phải thi tuyển lại không, và điểm cũ được xử lý thế nào?",g1,Điều kiện quay lại học và xem xét kết quả đã tích lũy,ccv0:457e13e9798d:p10-11:o2247:680ade9262f60fb6,Quy chế tổ chức và quản lý đào tạo - Áp dụng cho khóa tuyển sinh 2021 trở về sau,10-11,"{""chapter"": ""II"", ""section"": null, ""article"": ""16"", ""clause"": ""4"", ""point"": null}","[{""char_end"": 2691, ""char_start"": 2247, ""page"": 10, ""source_pointer"": ""/pages/9/text""}, {""char_end"": 117, ""char_start"": 0, ""page"": 11, ""source_pointer"": ""/pages/10/text""}]","4. Vì lý do cá nhân, sinh viên được quyền nộp đơn xin thôi học trừ trường hợp bị xem
xét buộc thôi học hoặc xem xét kỷ luật. Sinh viên xin thôi học phải thực hiện nghĩa vụ học
phí môn học còn nợ theo Quy định về việc quản lý nguồn thu từ hoạt động giáo dục của
Trường. Sinh viên xin thôi học vì lý do cá nhân muốn quay trở lại học phải dự tuyển đầu vào
như những thí sinh khác. Việc bảo lưu và công nhận kết quả học tập đã tích lũy đối với sinh
11
viên xin thôi học đăng ký tuyển sinh lại tại Trường được xem xét căn cứ vào chuẩn đầu ra
môn học và CTĐT hiện hành",,,,,
